,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,amplitude_cutoff
28,82944,0.4771436681586731,0.08290155440414508,9.783935025940558,0.3453253506697591,41,0.025595267443340175,2,0.0
29,479375,2.7576527045182764,0.41968911917098445,8.65697290667074,0.2652647444633172,1052,0.14253888651757407,350,1.043013892945054e-05
30,394174,2.267525417785214,0.37305699481865284,9.332057682198123,0.4285077050978683,1149,0.3073607498225356,465,0.0
31,2281,0.013121680978370145,0.02072538860103627,6.222181353162447,0.0,0,0.0,0,0.0
32,18682,0.10747007629895268,0.04145077720207254,8.303550748236294,1.6602283299110816,10,1.0,5,0.0
33,37002,0.21285771133785714,0.06217616580310881,8.11313261036187,1.6505503052003618,39,1.0,13,0.0
34,2953,0.016987428289840876,0.02072538860103627,7.198005659152561,0.0,0,0.0,0,0.0
35,130045,0.7480968885717428,0.21243523316062177,7.939631506234376,0.09936312362254844,29,0.02603630412376834,5,0.0
36,16662,0.09584982396387697,0.02072538860103627,9.286610835532269,1.252309127410314,6,1.0,3,0.0
37,20717,0.11917661763651657,0.04145077720207254,6.859692174641762,2.160134565651537,16,1.0,8,0.0032236335642802155
38,69604,0.40040398194584637,0.10880829015544041,7.832843021136622,1.243882902658483,104,1.0,54,0.0
39,134387,0.7730746784919897,0.10880829015544041,16.89827569392535,0.012833940723602038,4,0.0048243650202751676,1,0.0
40,15788,0.09082205141889867,0.02072538860103627,16.948794807085324,0.23246646971251492,1,0.0,0,0.0
41,13684,0.07871858066988911,0.02072538860103627,11.486953204991583,1.2377941223480078,4,0.7323165895334676,1,0.0004382761139517896
42,15280,0.0878997305346321,0.025906735751295335,8.887313635375364,2.2336254882678652,9,0.0,0,0.0009153916568588989
43,47383,0.2725754536598477,0.31088082901554404,7.118961855908645,1.4452982425957168,56,1.0,15,0.0
44,380220,2.1872536350705376,0.9958549222797928,7.694203085889113,0.5948103840808185,1484,0.2779015673046974,398,0.0
45,4289,0.024672902111455307,0.02072538860103627,7.6389785368628536,6.299882638701984,2,1.0,1,0.0
46,189909,1.0924705449019272,0.43419689119170984,7.537040668776317,0.8145756456119393,507,0.4049172724807778,134,6.8449152810101e-05
47,49571,0.28516214282279106,0.22797927461139897,18.046177438506252,0.4716167176612441,20,0.07343916297869202,2,0.0
48,4636,0.02666905436901534,0.02072538860103627,8.134715280112072,5.392097008080299,2,0.0,0,0.0
49,8435,0.04852318239918991,0.04145077720207254,10.89848201342127,3.2576496336475276,4,1.0,1,0.0
50,2622,0.015083317634934906,0.02072538860103627,8.144507360317666,8.428478457074895,1,0.0,0,0.0
51,3799,0.021854128030174565,0.02072538860103627,8.058091837120179,20.07455713324792,5,1.0,1,0.0
52,4425,0.02545525573401486,0.04145077720207254,7.505185615395274,56.22657203684197,19,1.0,3,0.0
53,14291,0.0822104089705777,0.12435233160621761,7.078787010867151,8.511587578222443,30,1.0,9,0.0003497481813094572
54,6274,0.03609181344072525,0.08290155440414508,7.213730292966147,8.832360309782024,6,0.0,0,0.0025437201907790143
55,4729,0.027204046184442093,0.06217616580310881,7.08702967307434,10.36420319912108,4,0.0,0,0.009633507853403141
56,11110,0.0639113878429164,0.08290155440414508,7.672881663547244,5.163915452931431,11,1.0,3,0.000449842555105713
57,95232,0.5478316189969951,0.10362694300518134,8.10542837278192,3.2585089750389513,510,1.0,142,0.00041985053321017717
58,10552,0.06070143695035588,0.04145077720207254,19.497540576123054,9.36736614253337,18,1.0,8,0.0
59,119784,0.6890694582696578,0.35233160621761656,16.03730728245235,0.5169242452384272,128,0.3625481884024536,49,0.0
60,153051,0.8804412079879567,0.3316062176165803,8.645667575267453,0.7495227877994858,303,0.4921631857559958,100,0.0
61,3263,0.018770734341263386,0.02072538860103627,13.600595456248337,32.65364437563951,6,1.0,2,0.0
62,81289,0.4676231148841432,0.10362694300518134,11.590944793963306,3.796985076359295,433,1.0,170,0.00012300274296116802
63,87755,0.5048194275567173,0.04145077720207254,8.602843537210154,1.3619130757597206,181,0.8286676644356852,43,0.0
64,4065,0.023384319674298396,0.04145077720207254,21.179280678061797,3.5066583569812737,1,0.0,0,0.0
65,411122,2.3650204853965326,0.5803108808290155,8.599935570308148,0.3949349786467589,1152,0.2234640585655704,386,0.0
66,58890,0.3387706237686181,0.28911917098445594,16.316018457032463,0.9857878448254396,59,0.7817600121717222,19,0.00011885155440854372
67,6390,0.03675911505996722,0.04145077720207254,23.638698190484643,8.514596852313089,6,1.0,4,0.0
68,33848,0.19471401041467457,0.18652849740932642,13.839677650825191,0.4046117756695209,8,0.07898393926928204,1,0.0
69,1302,0.007489885415974541,0.02072538860103627,14.91251399428045,34.181615716391,1,0.0,0,0.014383043149129448
70,30729,0.17677165049729776,0.06217616580310881,12.36649163671598,4.663707380254822,76,1.0,32,0.0
71,13109,0.07541083557450864,0.04145077720207254,15.062759917627647,4.046286918373486,12,1.0,3,0.0
72,58902,0.33883965497060864,0.08290155440414508,11.245161713169077,4.509394566659993,270,1.0,90,6.790479747394153e-05
73,36265,0.20861804501560427,0.06217616580310881,10.193369572073447,4.185648913563805,95,1.0,29,0.0011568017186768392
74,20561,0.11827921201063944,0.06217616580310881,14.93489087183571,4.523139992878597,33,1.0,12,0.0
75,13895,0.0799323793048896,0.06217616580310881,14.732317177528529,1.8007304313701826,6,1.0,2,0.0
76,347468,1.9988444744376666,0.7046632124352331,14.409969495601857,0.3090799221457699,644,0.18481689133524126,233,4.3167579421151536e-05
77,4582,0.02635841396005787,0.02072538860103627,15.84343865881869,2.759970156735039,1,1.0,1,0.0
78,8847,0.05089325366753208,0.06217616580310881,13.017445261278276,5.18227602590205,7,1.0,2,0.0
79,1451,0.008347022840690521,0.02072538860103627,20.713115452993495,0.0,0,0.0,0,0.0
80,3167,0.018218484725338997,0.02072538860103627,7.961636032455704,0.0,0,0.0,0,0.0
81,2505,0.014410263415527055,0.02072538860103627,9.847221344091686,0.0,0,0.0,0,0.0
82,8873,0.05104282127184494,0.08290155440414508,8.240149466643752,2.2079785372467335,3,0.0,0,0.0
83,2333,0.013420816186995857,0.02072538860103627,10.792450531398957,10.645966083248966,1,0.0,0,0.0
84,225177,1.29535324755215,0.6217616580310881,20.138201885310895,0.04114044632811698,36,0.019037246273220565,11,0.0
85,6623,0.03809947089861704,0.04145077720207254,10.578768914659152,9.247047441024584,7,1.0,5,0.001658124811576726
86,20986,0.12072406708113803,0.10362694300518134,11.084859837355078,1.0525559866900487,8,0.2219951767558046,1,0.0
87,10037,0.05773884786492817,0.06217616580310881,9.756187760488743,9.77812599222382,17,1.0,5,0.0
88,5241,0.030149377469372175,0.04145077720207254,10.253244621876156,2.109532576698346,1,0.0,0,0.0
89,2736,0.015739114053845118,0.02072538860103627,14.731243282301405,0.0,0,0.0,0,0.0018241517694272164
90,46547,0.2677662799211728,0.14507772020725387,10.407122867171537,1.4441919657290996,54,1.0,19,0.0
91,7780,0.04475522929053912,0.04145077720207254,8.60871392468367,10.530477074857053,11,1.0,3,0.0
92,618,0.0035551069025132618,0.02072538860103627,10.79561560143714,0.0,0,0.0,0,0.0
93,71230,0.40975770981556575,0.16580310880829016,9.71989085231717,1.290527045951781,113,1.0,33,0.0
94,268214,1.5429279008910872,0.31088082901554404,7.848173645895611,1.2613727005559594,1566,1.0,574,0.0
95,1301,0.007484132815808662,0.02072538860103627,10.718330396306516,0.0,0,0.0,0,0.0
96,8992,0.05172738069158454,0.08290155440414508,10.551709918945068,10.032981121174096,14,1.0,3,0.00044464206313917296
97,6188,0.03559708982645965,0.02072538860103627,22.18937792765278,1.513261370216958,1,0.0,0,0.0
98,27795,0.15989352161060857,0.08290155440414508,15.013727698268829,0.9000413141801354,12,1.0,6,0.0
99,802985,4.619251644198401,0.41968911917098445,8.411866704802621,0.6889195441190075,7666,0.36339890679638176,2206,1.3698698374587171e-05
100,2545,0.014640367422162218,0.019689119170984457,27.37108023649791,0.0,0,0.0,0,0.0
101,2466,0.014185912009057772,0.019689119170984457,27.56780032408997,19.057169948900796,2,0.0,0,0.0
102,9801,0.05638123422578071,0.06217616580310881,19.935951667695335,2.4128691389792,4,1.0,2,0.0
103,60111,0.34579454857115643,0.24352331606217617,18.91887929788546,0.16036391491622473,10,0.0,0,0.0003658556865614554
104,1245,0.007161987206519435,0.02072538860103627,9.317789999808923,0.0,0,0.0,0,0.0
105,230524,1.3261124006391054,0.3316062176165803,7.920559503675033,1.0293291137177665,944,1.0,310,6.506491309496441e-05
106,26814,0.15425022084788123,0.12124352331606218,33.44928004319556,0.08059189092493899,1,0.0,0,0.0
107,14115,0.081197951341383,0.04145077720207254,9.39365014596787,5.235103785525732,18,1.0,6,0.0
108,3186,0.018327784128490697,0.02072538860103627,8.85789359065067,5.708513242856763,1,0.0,0,0.0
109,10062,0.05788266286907514,0.08290155440414508,14.14735958720077,5.150963106458107,9,1.0,2,0.0
110,65465,0.3765939698592729,0.14507772020725387,9.90224333785958,1.3385401606257845,99,0.7410056566894223,23,0.0
111,2919,0.01679183988420099,0.02072538860103627,36.313089729610674,6.80058645069132,1,0.0,0,0.0
112,1832,0.010538763503890445,0.02072538860103627,28.574917010319652,0.0,0,0.0,0,0.0
113,23110,0.13294258983346516,0.04145077720207254,8.448068564432202,5.424811714456615,50,1.0,22,0.0
114,1799,0.010348927698416437,0.019689119170984457,35.79448989525118,0.0,0,0.0,0,0.0
115,67030,0.3855967891188737,0.14507772020725387,9.665893937890358,2.3600826203738925,183,1.0,50,0.00023864212630134534
116,79299,0.4561754405540439,0.2,46.206565749644504,0.009214656161358517,1,0.0,0,0.00011348161597821153
117,9834,0.056571070031254715,0.04145077720207254,24.942424206935986,0.0,0,0.0,0,0.0
118,4570,0.026289382758067324,0.02072538860103627,9.858974941783588,2.774483559360537,1,1.0,1,0.0
119,13234,0.07612991059524353,0.06217616580310881,11.853218323322645,2.9776579274092825,9,1.0,2,0.0
120,17172,0.0987836500484753,0.04145077720207254,13.144155676271291,0.7860185355952847,4,0.35930810969426463,1,0.00017467248908296942
121,36008,0.20713962677297335,0.08808290155440414,21.472698183563455,2.4579850973470454,55,1.0,20,0.000555123792605751
122,3725,0.021428435617899512,0.025906735751295335,7.653217350920474,33.40811628385107,8,1.0,4,0.0
123,4923,0.02832005061662263,0.025906735751295335,12.434000202946232,0.0,0,0.0,0,0.0
124,1596,0.009181149864742987,0.015544041450777202,22.98423132860705,0.0,0,0.0,0,0.0
125,7317,0.04209177541373711,0.025906735751295335,7.815599453849886,12.987623544375088,12,1.0,4,0.0
126,9815,0.056461770628103015,0.025906735751295335,16.228627401433638,0.0,0,0.0,0,0.0
127,3494,0.02009958497958145,0.021761658031088083,38.472522516691946,0.0,0,0.0,0,0.0
128,6876,0.03955487874058444,0.025906735751295335,26.95781262488014,0.0,0,0.0,0,0.0
129,1817,0.01045247450140226,0.014507772020725389,47.85338164891404,0.0,0,0.0,0,0.0
130,154847,0.8907728778858754,0.5119170984455959,6.774623243165767,1.0415646562985352,431,0.7058633305368707,126,0.0
131,112833,0.6490831345166325,0.12435233160621761,11.842173091689164,1.4746443643545137,324,1.0,85,0.00024809278670222663
132,116925,0.6726227743954095,0.14507772020725387,9.766249435980306,1.966607899050577,464,1.0,152,0.0
133,656551,3.7768753915080655,0.18652849740932642,9.400704669709157,0.6213088827080006,4622,0.2718604207647526,1165,1.67539394604013e-05
134,4790,0.027554954794560715,0.02072538860103627,6.997550365238336,12.627388236820988,5,1.0,2,0.0
135,12042,0.06927281119751569,0.02072538860103627,8.343520602086992,20.379216644565627,51,1.0,14,0.00041504108906781774
136,7340,0.04222408521755233,0.02072538860103627,8.289235740646854,13.981887012962371,13,1.0,2,0.0
137,5286,0.03040824447683673,0.02072538860103627,8.646650148799745,18.663914989573325,9,1.0,3,0.0007561436672967864
138,2824,0.016245342868442477,0.02072538860103627,9.858706527120395,7.265828974142228,1,0.0,0,0.0
139,19803,0.1139187410849031,0.02072538860103627,9.083722201779825,0.7387926824421901,5,0.25386034113264966,1,0.0
140,23440,0.13484094788820525,0.04145077720207254,7.597307788793652,6.749619877795768,64,1.0,18,0.00017061934823408976
141,316621,1.8213940171207952,0.24663212435233162,7.3883585079846865,0.3300435361851322,571,0.12583065473733113,136,0.0
142,62114,0.3573170067034122,0.12435233160621761,7.609296091438619,0.5707148289142375,38,0.09458613631477975,4,0.0
143,620112,3.567256394063598,0.14507772020725387,11.961432309461683,0.015068647882543813,100,0.005666799262896927,25,1.9350968515974224e-05
144,3361,0.019334489157519535,0.02072538860103627,7.482578948814388,15.388588467578659,3,0.0,0,0.0
145,2631,0.015135091036427817,0.04145077720207254,7.938345912524056,8.37091360470941,1,0.0,0,0.0
146,41750,0.24017105692545093,0.02072538860103627,8.55988360534674,2.426746747915745,73,1.0,16,0.0
147,94238,0.5421135344321112,0.39378238341968913,8.423760867715565,0.5741760943668158,88,0.40497740056588416,33,0.0
148,1962,0.011286601525454723,0.02072538860103627,12.831309588719648,0.0,0,0.0,0,0.0
149,1566754,9.012909320291687,0.31088082901554404,12.849961362315549,0.0010858523190389962,46,0.00028330595348968757,8,3.255031736559431e-05
150,2078,0.011953903144696696,0.02072538860103627,7.635200337247014,0.0,0,0.0,0,0.013763644992880873
151,97193,0.5591124679222839,0.04041450777202073,15.533717686970716,0.006134011430239779,1,0.0,0,0.0
152,26709,0.15364619783046393,0.02072538860103627,10.743424568134948,0.0,0,0.0,0,0.0
153,224260,1.290078113200039,0.14507772020725387,11.140159258089598,0.11060688288006577,96,0.053265587770288,30,0.00018279009010213954
154,66905,0.38487771409813876,0.02072538860103627,13.504902133362222,0.0,0,0.0,0,0.0
155,5555,0.0319556939214582,0.06217616580310881,16.8918070327665,1.8777874374296115,1,0.0,0,0.0028720157960868786
156,907,0.005217608350452311,0.02072538860103627,6.741482747423873,0.0,0,0.0,0,0.0
157,80717,0.4643326275892604,0.25181347150259065,7.885790001580846,0.9694178885686525,109,1.0,42,0.0
158,1948,0.011206065123132417,0.02072538860103627,8.877835778684185,0.0,0,0.0,0,0.0
159,50747,0.29192720061786487,0.14507772020725387,7.929372590237563,1.2375321741554046,55,1.0,21,0.0
160,7050,0.0405558311694474,0.04145077720207254,9.832108213562144,2.3316658795388108,2,0.0,0,0.0
161,34384,0.19779740410358573,0.1077720207253886,7.893585476053424,1.9114650717301318,39,1.0,10,0.0
162,16554,0.09522854314596202,0.08704663212435233,7.992850174060235,3.1717570447604326,15,1.0,5,0.0
163,3422647,19.68911969994548,0.6424870466321243,11.072262220241864,0.0054558930528184,1103,0.0024886690478223006,335,8.47290248916345e-06
164,9515,0.05473599057833929,0.06217616580310881,12.263791499573962,0.0,0,0.0,0,0.0015739769150052466
165,2051,0.011798582940217961,0.06217616580310881,7.703688274158643,27.549468888962313,2,1.0,1,0.0
166,585801,3.3698789297721214,0.7046632124352331,8.815708243608746,0.30326386856349324,1796,0.17793060419851725,640,0.003602537084190169
167,14965,0.08608766148238019,0.08290155440414508,19.007314046157717,0.0,0,0.0,0,0.00013362731342286363
168,32340,0.18603908936452893,0.14507772020725387,10.916331018651862,0.16620947564573327,3,0.0,0,0.0
169,298263,1.7157877832755872,0.39378238341968913,9.945241147669561,0.3556382257823742,546,0.21824375981887467,199,3.0173801094303185e-05
170,3807,0.021900148831501598,0.06217616580310881,8.865945007701361,3.9980553490034487,1,1.0,1,0.0
171,807,0.004642348333864405,0.02072538860103627,7.749889411657138,0.0,0,0.0,0,0.0
172,11364,0.06537254828504968,0.06217616580310881,9.524387183713873,2.6921754283283326,6,1.0,2,0.0
173,6381,0.03670734165847431,0.02072538860103627,12.771915131351452,2.8462107998585107,2,0.0,0,0.0010958046336881652
174,23243,0.1337076856555271,0.08290155440414508,10.915120164577308,0.9653231043026816,9,0.40296460423337366,2,0.0
175,9820,0.05649053362893241,0.02072538860103627,9.876678418527812,4.807082407065583,8,1.0,3,0.001931090557983535
176,1723,0.009911730085809627,0.02072538860103627,8.909693733961273,0.0,0,0.0,0,0.0028935185185185184
177,354385,2.038635209785052,0.6476683937823834,10.187476518124889,0.06413257733071176,139,0.028077294128121766,40,0.0
178,25187,0.14489074037799599,0.10362694300518134,7.69289859264297,0.8220612572552928,9,0.327720919684537,2,0.0
179,6816,0.0392097227306317,0.02072538860103627,8.45271716689533,2.4945107965761,2,1.0,1,0.0
180,28549,0.1642309821356814,0.12435233160621761,9.287825237579819,1.5640672968542464,22,1.0,5,0.0
181,2763,0.015894434258323854,0.02072538860103627,11.712487199330848,508.54289224610505,67,1.0,5,0.0
182,25406,0.1461505598143235,0.16580310880829016,10.04730970974727,2.1545332959599572,24,1.0,6,0.0
183,6315,0.03632767004752629,0.02072538860103627,9.588430165761114,17.436089599701766,12,1.0,1,0.0
184,3333,0.01917341635287492,0.04145077720207254,20.0392302026945,0.0,0,0.0,0,0.0
185,686901,3.951466806542495,0.37823834196891193,9.306148196106758,0.04470207081506465,364,0.02518575829858849,135,0.0
186,227105,1.3064442606719648,0.37823834196891193,7.8634731371739734,0.6392539650815535,569,0.36749114131053395,178,0.0002685260998564926
187,2607,0.014997028632446719,0.02072538860103627,8.835758580675751,8.525748032375274,1,0.0,0,0.0
188,14665,0.08436188143261647,0.16580310880829016,29.112119043051273,0.0,0,0.0,0,0.0
189,4170,0.023988342691715698,0.02072538860103627,8.656429146777835,0.0,0,0.0,0,0.0
190,181819,1.0459320095599656,0.29533678756476683,7.938328590598917,0.3014841418539071,172,0.19521168648041265,67,0.00013198198445912133
191,50111,0.28826854691236575,0.14507772020725387,10.489875293050229,0.46150712737384475,20,0.03523374287140235,1,0.00015962010415211797
192,17640,0.10147586692610669,0.04145077720207254,9.516495531071945,2.607026405035853,14,1.0,4,0.0
193,44723,0.2572735372186094,0.19170984455958548,7.553414593907398,0.7821975722662092,27,0.3742012220692542,7,0.0
194,13218,0.07603786899258946,0.06217616580310881,15.497302543711882,0.0,0,0.0,0,0.0
195,76502,0.44008541789008015,0.15025906735751296,9.356229681202944,0.25742002347033177,26,0.07723868308327664,5,5.228348103416725e-05
196,42921,0.2469073517196953,0.08290155440414508,8.165528360316245,2.4219524768885976,77,1.0,31,0.00020964360587002095
197,5667,0.032599985140036654,0.02072538860103627,7.20280437709084,1.804297430045263,1,0.0,0,0.0
198,3249,0.01869019793894108,0.02072538860103627,7.456518152615899,0.0,0,0.0,0,0.0
199,2165,0.012454379359128173,0.02072538860103627,7.246616877004191,0.0,0,0.0,0,0.0
200,6074,0.03494129340754944,0.02072538860103627,6.6506918080846384,7.852988925316888,5,1.0,3,0.0
201,15866,0.09127075423183723,0.025906735751295335,8.037383533353003,8.516896703739498,37,1.0,14,0.0
202,45937,0.2642571938199866,0.18652849740932642,8.123764177966937,1.784853822518086,65,1.0,26,0.0
203,21313,0.12260516733538049,0.10362694300518134,8.034461496101788,5.102527773033692,40,1.0,16,0.0
204,4191,0.024109147295199158,0.04145077720207254,14.419953425107716,3.2989765930965382,1,0.0,0,0.0009535160905840286
205,2679937,15.416606030745442,1.0,10.326022319656172,0.004606822662055524,571,0.002144350637825032,177,0.0
206,3569,0.02053102999202238,0.04145077720207254,9.311026373513135,13.647173554808154,3,1.0,2,0.0
207,12902,0.07422004734017168,0.04145077720207254,16.658253012923634,0.0,0,0.0,0,0.0
208,4753,0.027342108588423193,0.04145077720207254,8.654285253487133,5.129900279256131,2,0.0,0,0.0
209,2367,0.013616404592635745,0.04145077720207254,17.26732577175097,0.0,0,0.0,0,0.01292743953294412
210,1385,0.007967351229742504,0.04145077720207254,8.726247777733471,0.0,0,0.0,0,0.0
211,1012,0.005821631367869613,0.02072538860103627,10.51015129119207,0.0,0,0.0,0,0.0
212,4833,0.027802316601693515,0.02072538860103627,10.65857131470349,64.49919784750716,26,1.0,14,0.0
213,1990,0.011447674330099338,0.02072538860103627,9.801711846336314,58.52863482123066,4,1.0,2,0.0
214,13531,0.07783843284450961,0.04145077720207254,11.59544392540038,23.736464445451254,75,1.0,31,0.006826189078097475
215,1567,0.009014324459932494,0.02072538860103627,11.479272816856506,0.0,0,0.0,0,0.0
216,954,0.005487980558248627,0.02072538860103627,13.249392347358942,0.0,0,0.0,0,0.0
217,17852,0.10269541816127305,0.2694300518134715,14.984227458481872,0.1818196424895811,1,0.0,0,0.0
218,23423,0.1347431536853853,0.12435233160621761,12.932361400228377,5.808877373052095,55,1.0,17,0.0
219,13159,0.0756984655828026,0.08290155440414508,7.688622087870211,5.688761197334326,17,1.0,10,0.0012144212523719166
220,27746,0.1596116442024805,0.16580310880829016,14.27086963906218,1.2042974716885675,16,1.0,6,0.0018706381754083027
